title
'검찰청 폐지' 필리버스터2일째...최장기록 경신도
"제주경찰, 추석 맞아 종합 치안활동…""취약지 형사팀 배치"""
"‘더본코리아’ 빠진 홍성글로벌바비큐페스티벌, 흥행 이어간다"
도암댐 방류2일차
"어라운드X 글로벌 로드쇼2일차, 'Crafting the Future'… ""실리콘밸리가..."
장흥 하늘빛수목정원 ‘금·은목서 향기 페스티벌’2일개막
바다미술제 개막…37일간 17개국 23개팀 작품 46점 소개
"퇴임 앞둔 이시바 일 총리, 부산에서 이 대통령과 회담한다"
"인천 계양구, 10월2일...'제31회 계양구민의 날' 기념식 및 가을음악회..."
"대전시, 월드컵경기장 주차 요금 인하"
부산 다대포가 전시장으로... '2025 바다미술제' 개막
제대군인 취업 박람회 30일 aT센터에서…110개 기업 참여
한동훈 불출석으로 증인신문 불발…10월2일재지정
바다와 예술의 경계 허문다…바다미술제 개막
29일부터 '제대군인 주간'…취·창업박람회 등 사회복귀 지원
"李 측근 김현지 비서관, 재산 11억8300만원 신고"
"다대포로 돌아왔다… 2025바다미술제, 37일간 팡파르"
"한동훈, '계엄해제 방해' 증인 신문 불출석...다음 달2일재시도"
"부산노동청, 추석 앞두고 '임금체불 청산 집중 지도'"
"대전 월드컵경기장 주차장, 무료주차 2시간으로 확대"
"""항공 혁신하는 AI 방향성은""…우주청, 업계와 머리맞대"
지하철 탑승시위한 전장연 활동가 징역형 집행유예
"양양군, 지방세 환급금 돌려주기 집중 운영"
"세종시, 추석 명절 대비 주요도로 1650곳 859㎞ 정비"
APEC 정상들 대부분 경주에 숙소…만찬 메뉴 내달2일공개
"더네이쳐홀딩스, 자사주 40억 소각…""실적 개선 총력"""
"우주청 존리 본부장, 10월 24일자로 사의 표명…최민희 의원 ""사표내고..."
내달2일‘2025 제주 한의약 웰니스 전시체험 박람회’ 개막
"공주시, ‘2025 공산성 미디어아트’ 10월2일개막"
"부산시, 제41회 자랑스러운 시민상 수상자 7인 선정..내달2일시상"
"경기도, G-SUMMIT 수원서 10월1~2일개최…투자 중심으로 전면 재편"
유니트리 휴머노이드 R1 국내 첫 시연
"내란특검, 윤석열 공판·보석 신문 '실시간 중계' 신청"
"한전, 사이버공격 방어훈련…내달2일까지 참가자 모집"
"""나만의 창업 로드맵""…한림성심대, 창업역량 강화 캠프"
